hour,AUC,Accuracy
6,0.7625451319870558,0.4375
7,0.7388138780275878,0.5068493150684932
8,0.73120825844611,0.4936708860759494
9,0.7645990180032732,0.4827586206896552
10,0.7516282143271608,0.494949494949495
11,0.7728303408920714,0.6203703703703703
12,0.8154067769076518,0.6864406779661016
13,0.7916477520539044,0.6299212598425197
14,0.7796627122625308,0.6268656716417911
15,0.8116632600280855,0.647887323943662
16,0.7986149245807154,0.6266666666666667
17,0.842816049958388,0.6604938271604939
18,0.8421475265778327,0.6845238095238095
19,0.8266551878811307,0.6744186046511628
20,0.8227016032224048,0.6939890710382514
21,0.8014182708154053,0.6349206349206349
22,0.8008805861067009,0.6082474226804123
23,0.801821926783283,0.6482412060301508
24,0.836586863788793,0.6881188118811881
25,0.8168224052820711,0.6336633663366337
26,0.8489570565524965,0.6847290640394089
27,0.8546109200770143,0.714975845410628
28,0.8465440111163137,0.6859903381642513
29,0.849672475408128,0.7272727272727273
30,0.8831975407898721,0.7183098591549296
31,0.8254527023129178,0.6697674418604651
32,0.8376787933315443,0.6744186046511628
33,0.8242664419930343,0.6342592592592593
34,0.8526468719725525,0.6759259259259259
35,0.8691416081121671,0.7142857142857143
36,0.8595160476738846,0.6405529953917051
37,0.8522273609780665,0.7004608294930875
38,0.8481408837537163,0.6192660550458715
39,0.8311066088225895,0.6712328767123288
40,0.8490117546661855,0.7123287671232876
41,0.8319518918111001,0.669683257918552
42,0.830981141925418,0.6636771300448431
43,0.8513969792924257,0.7111111111111111
44,0.850578089451775,0.7092511013215859
45,0.8493533654934414,0.6986899563318777
46,0.8673649855940102,0.7030567685589519
47,0.8214230321981494,0.6506550218340611
48,0.8476077797787053,0.6681034482758621
49,0.8194021948650322,0.6695278969957081
50,0.8544991801531641,0.7008547008547008
51,0.8792449359733152,0.7264957264957265
52,0.8603344481321006,0.7330508474576272
53,0.8736529060087518,0.7426160337552743
54,0.8774549853387804,0.7426160337552743
55,0.8734595041981829,0.7510548523206751
56,0.8837554746488756,0.7341772151898734
57,0.8771995603873476,0.7698744769874477
58,0.8879750040065923,0.7405857740585774
59,0.8777955552181779,0.7447698744769874
60,0.908925650286163,0.7698744769874477
61,0.886319233628127,0.7824267782426778
62,0.9069555689505705,0.7866108786610879
63,0.8865250548894887,0.775
64,0.916360036616647,0.8041666666666667
65,0.9073349691375535,0.7625
66,0.9350187491099167,0.825
67,0.911661146307765,0.8208333333333333
68,0.9213432676064932,0.7875
69,0.9262836405642787,0.8041666666666667
70,0.9201776501519457,0.8125
71,0.9230145639569542,0.8
72,0.9168200592289496,0.8166666666666667
73,0.9151023789409591,0.8125
74,0.938926066545892,0.8125
75,0.9209227350705148,0.7708333333333334
76,0.9063922446315775,0.7958333333333333
77,0.8907801205026719,0.7916666666666666
78,0.9233127161037998,0.8
79,0.9060018927835186,0.8
80,0.9121029987186421,0.7916666666666666
81,0.8954505169303149,0.7375
82,0.9189608740498397,0.8083333333333333
83,0.916963652322743,0.8083333333333333
