hour,n_samples,cpc_auc,cpc_acc,km_auc,km_acc
6,52,0.5380952380952381,0.5909090909090909,0.5992063492063492,0.4581818181818182
7,59,0.44652777777777786,0.6606060606060605,0.6078593474426808,0.4924242424242424
8,68,0.39636363636363636,0.6472527472527472,0.6863803854875283,0.5153846153846154
9,73,0.655050505050505,0.7114285714285714,0.6780087868480726,0.5076190476190476
10,80,0.7032051282051283,0.7,0.5554021672771673,0.45
11,92,0.6785714285714286,0.7292397660818714,0.7551033770151416,0.4988304093567251
12,101,0.7605833333333333,0.7923809523809524,0.6914673506434158,0.5347619047619048
13,111,0.655686274509804,0.7660079051383398,0.7896942223557055,0.6110671936758892
14,120,0.611384015594542,0.7333333333333333,0.7168117567130725,0.5416666666666667
15,127,0.7482807017543859,0.7633846153846156,0.7414226032962067,0.5578461538461539
16,132,0.7696031746031745,0.7655270655270655,0.7060255064964649,0.5675213675213675
17,138,0.7239538239538241,0.7682539682539684,0.7085449208665219,0.5002645502645502
18,150,0.7109040717736369,0.7733333333333334,0.729341187017295,0.5333333333333333
19,156,0.7382380952380952,0.7885080645161292,0.72060109620444,0.5189516129032258
20,157,0.6571428571428571,0.7639112903225806,0.725064542105279,0.5286290322580645
21,166,0.7604259937593272,0.7891265597147951,0.7862883291739987,0.6089126559714795
22,171,0.7656084656084656,0.795126050420168,0.8048816807896964,0.6368067226890758
23,177,0.7751817968566737,0.8074603174603174,0.7330282923633875,0.5599999999999999
24,180,0.7325287356321839,0.7944444444444445,0.7757672128348942,0.5888888888888889
25,183,0.7517562724014336,0.830930930930931,0.7459084930343769,0.5794294294294294
26,183,0.7946697388632873,0.8198198198198199,0.7689354580127425,0.5855855855855856
27,183,0.7498310291858677,0.7816816816816816,0.7040596585355497,0.5627627627627627
28,186,0.8093701996927803,0.8445234708392604,0.6833487000816277,0.5055476529160741
29,185,0.7661443932411673,0.827027027027027,0.6059706228848557,0.5135135135135135
30,187,0.7761904761904761,0.8236130867709814,0.5854154651111013,0.496728307254623
31,190,0.77045410906298,0.8210526315789473,0.660943103528076,0.5526315789473684
32,190,0.7110743087557603,0.8210526315789473,0.6245089993687986,0.4947368421052632
33,191,0.7964045698924732,0.8273954116059379,0.6391343125786447,0.5443994601889339
34,192,0.7507440476190477,0.8021592442645072,0.6368464345965039,0.5311740890688259
35,192,0.7782738095238095,0.8334682860998651,0.6410910250177777,0.5780026990553306
36,192,0.8248511904761905,0.8647773279352226,0.6581526390749537,0.5784075573549258
37,190,0.77144777265745,0.8263157894736842,0.6503797935965338,0.5473684210526316
38,189,0.7881768433179723,0.8096728307254624,0.5883442815133872,0.5283072546230441
39,187,0.8350537634408601,0.8291607396870555,0.6120049615036965,0.5022759601706971
40,185,0.8619354838709677,0.854054054054054,0.6009909920004797,0.4756756756756757
41,184,0.7900716845878136,0.8261261261261261,0.6258904353693253,0.521921921921922
42,182,0.7450640040962623,0.845945945945946,0.6725613491393874,0.5214714714714714
43,180,0.711264367816092,0.8,0.6630549371778757,0.5666666666666667
44,181,0.7692063492063492,0.8175675675675675,0.6781195677846431,0.5575075075075075
45,181,0.6608757525998905,0.7956456456456455,0.6944204998622822,0.5192192192192192
46,181,0.6907991242474001,0.7843843843843844,0.6422616883613053,0.5301801801801802
47,176,0.7212878254750177,0.7952380952380953,0.6670169262916954,0.5512698412698412
48,174,0.8181210415200564,0.8450420168067228,0.676702066471945,0.5231932773109242
49,173,0.7766948158573774,0.7971428571428572,0.6752637833354558,0.5379831932773109
50,174,0.8144851043865822,0.8621848739495798,0.7092148437904275,0.5581512605042016
51,175,0.7924231761670185,0.8571428571428571,0.7146171792289028,0.5828571428571429
52,172,0.6715869106263195,0.8023529411764706,0.6933244892606418,0.5574789915966386
53,172,0.7073481116584566,0.8136134453781512,0.7302665068817867,0.5361344537815126
54,171,0.743103448275862,0.7949579831932774,0.7160465018389145,0.5902521008403362
55,171,0.7313628899835797,0.8008403361344538,0.700192319283927,0.584201680672269
56,167,0.6847442680776015,0.7905525846702318,0.7012516356955738,0.5570409982174688
57,165,0.6555555555555556,0.8303030303030303,0.7452475738858771,0.5757575757575757
58,165,0.7444444444444445,0.8484848484848484,0.7366332909848712,0.6303030303030304
59,162,0.6817853751187085,0.8143939393939394,0.7262786097932937,0.5988636363636364
60,160,0.749059829059829,0.85,0.7584993116688022,0.60625
61,158,0.674923076923077,0.8223790322580646,0.8095951193774047,0.6512096774193548
62,158,0.6982564102564103,0.8352822580645162,0.7794112000863185,0.6639112903225806
63,152,0.6848,0.769247311827957,0.758582593493214,0.6311827956989248
64,149,0.6686000000000001,0.8048275862068965,0.7731969939417308,0.6710344827586207
65,147,0.7368,0.8022988505747126,0.8355036553069016,0.7147126436781608
66,145,0.7383333333333334,0.7931034482758621,0.8166410639584015,0.6758620689655173
67,143,0.7024818840579711,0.8179802955665025,0.8358687652503443,0.7201970443349754
68,141,0.662536231884058,0.808128078817734,0.839205040105296,0.6805418719211823
69,138,0.7930434782608696,0.8190476190476191,0.8426621505607825,0.6878306878306878
70,136,0.6926877470355732,0.8161375661375662,0.8335618485952387,0.647089947089947
71,133,0.6692094861660078,0.8048433048433049,0.7748159199140827,0.5794871794871794
72,128,0.7008658008658009,0.8196923076923076,0.7860732424459761,0.5704615384615385
73,127,0.7077922077922076,0.8427692307692307,0.7767577204930146,0.512
74,120,0.675873015873016,0.7833333333333333,0.8123343160107867,0.5583333333333333
75,118,0.8333333333333333,0.8818840579710144,0.8385678242179789,0.6518115942028985
76,118,0.8975,0.8735507246376812,0.8184860724644007,0.602536231884058
77,116,0.6292105263157894,0.8105072463768115,0.7906381589972923,0.5884057971014492
78,113,0.7631578947368421,0.8142292490118578,0.7583695415351761,0.6723320158102768
79,109,0.612719298245614,0.8069264069264068,0.783033354367388,0.5878787878787878
80,107,0.7032163742690057,0.822077922077922,0.8060281547562248,0.6826839826839828
81,106,0.7222222222222222,0.8584415584415584,0.7747674977787022,0.5948051948051949
82,105,0.7913943355119825,0.8285714285714286,0.7893462211695293,0.6
83,105,0.8065359477124183,0.8,0.7651728826728827,0.5809523809523809
