hour,n_samples,cpc_auc,cpc_acc,km_auc,km_acc
6,52,0.7869047619047619,0.6727272727272728,0.6476190476190476,0.6563636363636364
7,59,0.7071759259259259,0.6212121212121213,0.7247685185185185,0.7272727272727273
8,68,0.7233333333333333,0.6494505494505495,0.7057070707070707,0.7054945054945054
9,73,0.7636363636363637,0.7961904761904762,0.7808441558441559,0.7152380952380952
10,80,0.8185897435897436,0.7625,0.7682794289044289,0.6125
11,92,0.8171428571428571,0.760233918128655,0.7626906426906427,0.6742690058479532
12,101,0.8110833333333334,0.7314285714285714,0.6992637439591222,0.6238095238095237
13,111,0.7956862745098039,0.7383399209486166,0.7929638825227061,0.7474308300395258
14,120,0.776140350877193,0.6833333333333333,0.7362954721362229,0.6666666666666667
15,127,0.7921929824561402,0.7636923076923077,0.7028300106326422,0.6138461538461539
16,132,0.8025396825396826,0.735897435897436,0.7570484241898071,0.6809116809116808
17,138,0.8297258297258298,0.7687830687830688,0.7274463937621832,0.6587301587301588
18,150,0.7940821256038648,0.72,0.7684532207844901,0.7333333333333333
19,156,0.8298095238095238,0.7689516129032258,0.7105827534216281,0.6215725806451612
20,157,0.8049523809523809,0.7828629032258065,0.7404243060860708,0.6562499999999999
21,166,0.8065662732329401,0.7354723707664885,0.746516290726817,0.7044563279857398
22,171,0.8280423280423281,0.6966386554621848,0.7761558610471655,0.7129411764705882
23,177,0.8183438892798499,0.7558730158730158,0.7834152785147921,0.6611111111111112
24,180,0.851056376573618,0.75,0.727924963924964,0.6333333333333333
25,183,0.8525857654889913,0.7659159159159159,0.7710003300792774,0.7162162162162161
26,183,0.8562365591397849,0.7438438438438438,0.7467117590012327,0.693993993993994
27,183,0.8163287250384025,0.7384384384384385,0.8090079602573882,0.7489489489489489
28,186,0.830937019969278,0.7583214793741109,0.7726894771894772,0.7152204836415362
29,185,0.8297388632872504,0.7243243243243243,0.7490573753731649,0.664864864864865
30,187,0.840552995391705,0.727027027027027,0.7155097402597403,0.6354196301564723
31,190,0.8666522657450075,0.768421052631579,0.7304418963389553,0.6578947368421053
32,190,0.836520737327189,0.6789473684210525,0.7562130924630924,0.6789473684210525
33,191,0.8596198156682027,0.7373819163292847,0.744723437098019,0.6754385964912281
34,192,0.8367559523809524,0.6661268556005397,0.7258432547844313,0.66693657219973
35,192,0.8138392857142855,0.6921727395411605,0.7128250181191358,0.6666666666666666
36,192,0.8196428571428571,0.7082321187584346,0.7458889476536535,0.6927125506072874
37,190,0.8451324884792626,0.7157894736842104,0.7186669996669997,0.6736842105263159
38,189,0.8662730414746544,0.7187766714082503,0.7120091792265705,0.6769559032716927
39,187,0.8588940092165899,0.7328591749644382,0.7155874627608373,0.6523470839260314
40,185,0.8831950844854071,0.827027027027027,0.6856086747391095,0.681081081081081
41,184,0.8497491039426522,0.7824324324324324,0.6980079652634001,0.6684684684684684
42,182,0.8002969790066565,0.7187687687687687,0.7429249373814591,0.6424924924924925
43,180,0.8466502463054187,0.7333333333333332,0.6805922519509476,0.6500000000000001
44,181,0.8357936507936508,0.7021021021021021,0.7008602242644508,0.6789789789789791
45,181,0.7686425834701697,0.6024024024024024,0.6926854184462881,0.6623123123123124
46,181,0.7748877941981391,0.6408408408408409,0.7094206349206349,0.6683183183183183
47,176,0.7864532019704433,0.7326984126984126,0.6973506735487718,0.6473015873015873
48,174,0.828806005160685,0.6889075630252102,0.7573847465407567,0.666890756302521
49,173,0.8797970912502933,0.8100840336134454,0.7394302364302365,0.670252100840336
50,174,0.8547443115177107,0.8104201680672268,0.7464974549260264,0.6947899159663866
51,175,0.8204902650715458,0.7371428571428571,0.75357668997669,0.68
52,172,0.8093361482524045,0.7442016806722689,0.7725734361957272,0.7151260504201681
53,172,0.7794745484400657,0.5515966386554622,0.7715709239161251,0.7152941176470587
54,171,0.820977011494253,0.6966386554621848,0.772712281679673,0.6836974789915966
55,171,0.8198275862068967,0.6954621848739496,0.7850267425810904,0.724873949579832
56,167,0.8003086419753087,0.6877005347593583,0.714110275689223,0.6581105169340463
57,165,0.717283950617284,0.6484848484848484,0.7503013049752181,0.7212121212121211
58,165,0.825925925925926,0.7212121212121213,0.7702060707323866,0.6969696969696969
59,162,0.7638841405508072,0.6842803030303031,0.7746270618380302,0.6909090909090909
60,160,0.8239316239316239,0.7625,0.7956028894351264,0.66875
61,158,0.7984102564102564,0.7411290322580646,0.7985333964281334,0.7278225806451614
62,158,0.777025641025641,0.7225806451612904,0.7667582709687972,0.6578629032258064
63,152,0.7717333333333333,0.6636559139784945,0.7440367830521283,0.6840860215053765
64,149,0.8280000000000001,0.7188505747126437,0.7986267648473531,0.6908045977011494
65,147,0.8112666666666666,0.7542528735632184,0.8306562516430939,0.728735632183908
66,145,0.8033333333333333,0.6551724137931034,0.8368694463431305,0.7655172413793103
67,143,0.8043840579710144,0.7610837438423645,0.8421471291866028,0.7211822660098521
68,141,0.8310507246376814,0.6660098522167488,0.8725124819281167,0.7231527093596058
