hour,AUC
6,0.76
7,0.8457575757575758
8,0.8200000000000001
9,0.8006776556776557
10,0.8310000000000002
11,0.871470588235294
12,0.8283820662768032
13,0.8253684210526318
14,0.8168253968253969
15,0.8102503293807641
16,0.8300931677018633
17,0.8600366300366301
18,0.8818911952245286
19,0.8549206349206349
20,0.8913669950738916
21,0.8566666666666667
22,0.8732258064516129
23,0.8513616071428571
24,0.8673687770562771
25,0.8780323322510821
26,0.8807548701298701
27,0.8656264323911382
28,0.8471708683473389
29,0.8816596638655463
30,0.881923769507803
31,0.9181972789115644
32,0.9001133786848073
33,0.876859410430839
34,0.9132539682539684
35,0.88515873015873
36,0.9226417233560092
37,0.908922902494331
38,0.870873015873016
39,0.8856746031746032
40,0.8852777777777778
41,0.8826984126984126
42,0.9118892106392107
43,0.8823525311025311
44,0.8719331831831834
45,0.8615915915915917
46,0.8576126126126126
47,0.8598648648648649
48,0.8859198672356567
49,0.8514129919393079
50,0.8881701438280387
51,0.8847245930140667
52,0.8646300044984255
53,0.8681612685560054
54,0.8635560053981106
55,0.8765395861448494
56,0.8670872694556906
57,0.856197330934173
58,0.8481114110061478
59,0.8489248762932973
60,0.8467618833408307
61,0.8730401859349228
62,0.8536407257459889
63,0.8657264957264957
64,0.8868803418803419
65,0.8853846153846153
66,0.8771937321937323
67,0.8902279202279202
68,0.8874501424501425
69,0.9076780626780627
70,0.8923646723646723
71,0.8801851851851853
72,0.8695014245014245
73,0.8846723646723647
74,0.8915099715099715
75,0.8764814814814815
76,0.862022792022792
77,0.8794017094017096
78,0.8823931623931623
79,0.8732051282051281
80,0.8792592592592594
81,0.8839601139601141
82,0.8906552706552706
83,0.8804700854700855
