hour,AUC
6,0.6210509860509861
7,0.6535564567707426
8,0.7695149911816579
9,0.7593795093795094
10,0.7870600613982967
11,0.7912301376336464
12,0.8037185377974851
13,0.8113492063492064
14,0.8016300688039819
15,0.8122750699499421
16,0.8190341148951572
17,0.7782367631413039
18,0.784255352990985
19,0.8196890093169585
20,0.7662642533796555
21,0.817548600999327
22,0.7703389915474316
23,0.7900375567113098
24,0.7946743812808391
25,0.8000660170853584
26,0.8363871619464651
27,0.7954957812432542
28,0.7953573561469677
29,0.8267620478638625
30,0.7969834630508374
31,0.8263952729989883
32,0.8116604356542437
33,0.8361180126871562
34,0.82079783745857
35,0.8266688370204883
36,0.8445061239070527
37,0.7864515549809667
38,0.8123602401974436
39,0.7985222542908301
40,0.8125069452582352
41,0.8295880628404709
42,0.807176699478901
43,0.8173618678727037
44,0.8187532493122449
45,0.8061190764699537
46,0.816971003306286
47,0.827882938633426
48,0.8452542513129326
49,0.8208716719485021
50,0.8338900446553199
51,0.8541822256099327
52,0.8346702912401642
53,0.843804512316309
54,0.8709769946249074
55,0.877005732722611
56,0.8737967705844294
57,0.8639803626388625
58,0.8786845476183044
59,0.8864422679803805
60,0.8923633459159774
61,0.9155969346441215
62,0.9056827697269318
63,0.9066867338540056
64,0.9106842870439362
65,0.9236063775885313
66,0.9249934234522862
67,0.9238774306318166
68,0.9242561185528518
69,0.9314036933123444
70,0.932785490194746
71,0.9031847560235339
72,0.9110903049560037
73,0.9105587103983959
74,0.9013828265023063
75,0.9269227430736808
76,0.9156086275581132
77,0.899274336659394
78,0.9114363705516155
79,0.9020476378083759
80,0.9085514452196242
81,0.9057227337172891
82,0.9102031050700139
83,0.8915058211942666
