hour,AUC,Accuracy,Acc_class_0,Acc_class_1
6,0.74,0.6025641025641025,0.6599999999999999,0.4666666666666666
7,0.8257575757575758,0.5047619047619047,0.4,0.8
8,0.8,0.5416666666666666,0.5294871794871796,0.6
9,0.7806776556776557,0.7202614379084967,0.7868131868131868,0.4666666666666666
10,0.8110000000000002,0.6936842105263158,0.6591666666666667,0.8300000000000001
11,0.851470588235294,0.7004329004329005,0.6897058823529412,0.73
12,0.8083820662768032,0.7601449275362319,0.7777777777777778,0.6933333333333334
13,0.8053684210526317,0.5781538461538461,0.5552631578947368,0.6866666666666668
14,0.7968253968253969,0.625071225071225,0.6095238095238095,0.66
15,0.7902503293807641,0.6642857142857144,0.6130434782608696,0.86
16,0.8100931677018632,0.7429885057471264,0.7677536231884059,0.6619047619047619
17,0.8400366300366301,0.79375,0.8027692307692307,0.7428571428571429
18,0.8618911952245286,0.8131907308377897,0.8492877492877493,0.6714285714285715
19,0.8349206349206348,0.6470588235294118,0.6296296296296297,0.7142857142857142
20,0.8713669950738916,0.7833333333333334,0.7778325123152708,0.8
21,0.8366666666666667,0.779516358463727,0.8066666666666666,0.675
22,0.8532258064516128,0.7954116059379217,0.7806451612903226,0.8642857142857142
23,0.8313616071428571,0.7957692307692307,0.8,0.7857142857142858
24,0.8473687770562771,0.749102564102564,0.7554924242424242,0.725
25,0.8580323322510821,0.7737179487179487,0.7545454545454545,0.8607142857142858
26,0.8607548701298701,0.785,0.7918560606060606,0.7428571428571429
27,0.8456264323911382,0.7945121951219513,0.8098039215686275,0.7214285714285713
28,0.8271708683473389,0.7351219512195122,0.7085561497326204,0.8607142857142858
29,0.8616596638655463,0.7672473867595817,0.7705882352941176,0.7642857142857143
30,0.861923769507803,0.7857142857142858,0.7989915966386555,0.7285714285714285
31,0.8981972789115644,0.8343300110741971,0.8576190476190476,0.7321428571428571
32,0.8801133786848073,0.8026578073089701,0.7896825396825398,0.8607142857142858
33,0.856859410430839,0.826578073089701,0.8473015873015873,0.7214285714285713
34,0.8932539682539684,0.8084163898117385,0.8085714285714285,0.8035714285714286
35,0.86515873015873,0.8083056478405316,0.8146031746031746,0.775
36,0.9026417233560091,0.7994462901439646,0.8152380952380953,0.7178571428571429
37,0.888922902494331,0.8320044296788481,0.8376190476190477,0.8
38,0.850873015873016,0.6697674418604651,0.6480952380952381,0.7857142857142857
39,0.8656746031746032,0.7654334038054967,0.7547619047619049,0.8035714285714285
40,0.8652777777777778,0.7011627906976744,0.6995238095238094,0.7
41,0.8626984126984126,0.7804439746300211,0.8111111111111111,0.65
42,0.8918892106392107,0.8090909090909092,0.8456456456456456,0.65
43,0.8623525311025311,0.8066666666666666,0.8202702702702702,0.75
44,0.8519331831831833,0.7725252525252525,0.7992492492492492,0.65
45,0.8415915915915917,0.7253140096618357,0.7297297297297296,0.711111111111111
46,0.8376126126126126,0.8095652173913044,0.8594594594594595,0.586111111111111
47,0.8398648648648649,0.7741062801932367,0.8162162162162161,0.5805555555555555
48,0.8659198672356567,0.8164251207729467,0.85049786628734,0.6611111111111111
49,0.8314129919393078,0.782608695652174,0.8190611664295876,0.611111111111111
50,0.8681701438280387,0.8269195189639224,0.8571834992887624,0.6916666666666667
51,0.8647245930140667,0.7703977798334876,0.7997155049786628,0.6416666666666666
52,0.8446300044984255,0.7942645698427382,0.8430499325236168,0.586111111111111
53,0.8481612685560054,0.7951896392229416,0.8074224021592442,0.7305555555555555
54,0.8435560053981106,0.7863089731729879,0.797165991902834,0.7416666666666666
55,0.8565395861448494,0.7738205365402404,0.8010796221322536,0.6361111111111111
56,0.8470872694556906,0.7994449583718778,0.8126855600539811,0.7388888888888888
57,0.836197330934173,0.7922872340425531,0.8456140350877192,0.5499999999999999
58,0.8281114110061478,0.7839539007092199,0.8097165991902834,0.6666666666666666
59,0.8289248762932973,0.7881205673758865,0.8406207827260459,0.5472222222222223
60,0.8267618833408307,0.7543439716312057,0.7790823211875842,0.6472222222222221
61,0.8530401859349228,0.775177304964539,0.80944669365722,0.625
62,0.8336407257459889,0.7840425531914893,0.8083670715249663,0.6583333333333333
63,0.8457264957264957,0.7847517730496454,0.8102564102564103,0.6722222222222223
64,0.8668803418803419,0.8058510638297871,0.8358974358974359,0.6722222222222223
65,0.8653846153846153,0.8060283687943264,0.8102564102564104,0.788888888888889
66,0.8571937321937323,0.725354609929078,0.7230769230769232,0.7444444444444445
67,0.8702279202279202,0.7763297872340426,0.7948717948717949,0.6972222222222222
68,0.8674501424501425,0.7844858156028369,0.8,0.7194444444444444
69,0.8876780626780627,0.8187056737588654,0.8307692307692308,0.7694444444444445
70,0.8723646723646723,0.7680851063829788,0.7384615384615385,0.9055555555555556
71,0.8601851851851853,0.7722517730496454,0.7846153846153847,0.7166666666666666
72,0.8495014245014245,0.801418439716312,0.8205128205128205,0.7194444444444444
73,0.8646723646723646,0.7975177304964539,0.8205128205128205,0.7
74,0.8715099715099714,0.7934397163120567,0.8051282051282052,0.7444444444444445
75,0.8564814814814815,0.7890070921985817,0.8051282051282052,0.7222222222222222
76,0.842022792022792,0.7975177304964539,0.8153846153846154,0.7166666666666666
77,0.8594017094017096,0.8147163120567376,0.8461538461538461,0.663888888888889
78,0.8623931623931623,0.8229609929078014,0.8615384615384615,0.6527777777777778
79,0.8532051282051281,0.7930851063829787,0.8205128205128206,0.6833333333333333
80,0.8592592592592594,0.8061170212765957,0.8307692307692307,0.6888888888888889
81,0.8639601139601141,0.7848404255319148,0.8205128205128206,0.6305555555555555
82,0.8706552706552706,0.7893617021276595,0.8051282051282052,0.7194444444444444
83,0.8604700854700855,0.801595744680851,0.8205128205128205,0.725
