hour,AUC
6,0.6061904761904763
7,0.6844179894179895
8,0.679920634920635
9,0.8461111111111111
10,0.8122828282828283
11,0.8174074074074075
12,0.8318559218559218
13,0.8779567099567098
14,0.8496717171717173
15,0.8326602564102564
16,0.8569747899159663
17,0.8589947089947091
18,0.8556335282651072
19,0.8305701754385966
20,0.8491195820433437
21,0.8419537815126051
22,0.8365831989361401
23,0.8544764783383709
24,0.8553225348110259
25,0.8755555555555555
26,0.8739357772094345
27,0.8798595718480627
28,0.8731685137823246
29,0.8708252818035427
30,0.8554970760233919
31,0.879391812865497
32,0.8776432748538012
33,0.8657719298245614
34,0.8612923976608186
35,0.8434795321637428
36,0.8432631578947369
37,0.8471695906432749
38,0.8547134502923976
39,0.833315339631129
40,0.8360710751237067
41,0.8533891138101664
42,0.8646693657219973
43,0.8447646657003383
44,0.8701091284717015
45,0.8551093783842322
46,0.8576001732726879
47,0.85487112843838
48,0.8787301587301589
49,0.8698468393205236
50,0.8822110832637148
51,0.8620356446672237
52,0.879035519834068
53,0.879437386569873
54,0.8843894218304382
55,0.8868395125745399
56,0.8756261343012703
57,0.8959029038112523
58,0.8801834327197304
59,0.8923703655690951
60,0.8876244490536686
61,0.9202547316567281
62,0.9196156339123671
63,0.8877106559502204
64,0.9129031630801141
65,0.9156844697951777
66,0.920882810474462
67,0.9233536427275084
68,0.9128798288825511
69,0.9174818511796734
70,0.927674358309567
71,0.9062529167746954
72,0.920426497277677
73,0.9182661394866476
74,0.9070780399274047
75,0.8986304122374903
76,0.9001289862587503
77,0.8912179154783512
78,0.9078681617837698
79,0.9033841068187711
80,0.9124351827845476
81,0.8900589836660617
82,0.8933257713248639
83,0.9099585169821105
